id,title,milestone,epic,priority,size,risk,tier,depends_on,issue_file
M1-042,凍結 VirtualKey Catalog 與 Unknown-key Policy,M1,E05,P1,M,critical,B,"M1-013,M1-040",issues/M1/M1-042-virtual-key-catalog.md
M2-017,實作 EdgeDetector Activation Delay／Dead Zone,M2,E10,P1,M,high,B/H,M2-016,issues/M2/M2-017-edge-detector.md
M1-020,建立 Deterministic Async Test Harness,M1,E02,P1,S,high,B,"M1-018,M1-019",issues/M1/M1-020-async-harness.md
M1-054,實作 Clipboard Origin／Hash Loop Prevention 與 Size Limit,M1,E06,P1,S,high,B,"M1-052,M1-053",issues/M1/M1-054-clipboard-loop-guard.md
M1-044,實作 VirtualKey → macOS CGKeyCode Mapper（US Baseline）,M1,E05,P1,S,critical,B,"M1-042,M1-035",issues/M1/M1-044-mac-key-code-mapper.md
M2-018,實作 Corner Exclusion／Activation Cancellation Tests,M2,E10,P1,S,medium,A,"M2-017,M1-018",issues/M2/M2-018-edge-detector-tests.md
M1-022,實作 TCP Stream Frame Reassembler 與 Size Limits,M1,E03,P1,S,critical,B,"M1-019,M1-020,M1-021",issues/M1/M1-022-barrier-frame-reassembler.md
M1-045,建立 Keyboard Layout Strategy 與 Unsupported-layout 行為,M1,E05,P1,M,critical,C/H,M1-044,issues/M1/M1-045-keyboard-layout-strategy.md
M1-025,凍結 Barrier Client Wire Contract v0.1,M1,E03,P0,M,critical,C/H,"M1-024,M1-021,M1-022",issues/M1/M1-025-barrier-client-wire-contract.md
M1-026,實作 Barrier Message Registry 與 Unknown-message Policy,M1,E03,P1,S,high,B,M1-025,issues/M1/M1-026-barrier-message-registry.md
M1-027,實作 Barrier Server Hello Parser,M1,E03,P1,S,high,A,"M1-025,M1-026",issues/M1/M1-027-barrier-server-hello.md
M1-028,實作 Barrier Client HelloBack Encoder,M1,E03,P1,S,high,A,"M1-025,M1-026",issues/M1/M1-028-barrier-client-hello-back.md
M1-031,實作 Screen Info／Enter／Leave／Keepalive Control Decoder,M1,E03,P1,S,high,B,"M1-025,M1-026",issues/M1/M1-031-barrier-control-messages.md
M1-032,實作 DMMV Mouse Move Decoder → KVMEvent,M1,E03,P1,XS,medium,A,"M1-013,M1-025,M1-026",issues/M1/M1-032-barrier-mouse-move-decoder.md
M1-033,實作 Mouse Button Decoder → KVMEvent,M1,E03,P1,XS,medium,A,"M1-013,M1-025,M1-026",issues/M1/M1-033-barrier-mouse-button-decoder.md
M1-034,實作 Mouse Wheel Decoder → KVMEvent,M1,E03,P1,XS,medium,A,"M1-013,M1-025,M1-026",issues/M1/M1-034-barrier-mouse-wheel-decoder.md
M1-041,實作 DKDN／DKUP／DKRP Decoder,M1,E05,P1,S,critical,B,"M1-025,M1-026,M1-040",issues/M1/M1-041-barrier-keyboard-decoder.md
M1-029,實作 Barrier Client Handshake State Machine,M1,E03,P1,S,critical,B,"M1-016,M1-027,M1-028",issues/M1/M1-029-barrier-client-handshake.md
M1-039,實作 Client Coordinate Normalization／Bounds／Retina Handling,M1,E04,P1,M,critical,B/H,"M1-031,M1-032,M1-036",issues/M1/M1-039-client-coordinate-mapper.md
M1-037,實作 Mouse Button Injector 與 Pressed-button Ledger,M1,E04,P1,M,critical,B/H,"M1-033,M1-035",issues/M1/M1-037-mac-mouse-button-injector.md
M1-038,實作 Vertical／Horizontal Scroll Injector,M1,E04,P1,M,high,B/H,"M1-034,M1-035",issues/M1/M1-038-mac-scroll-injector.md
M1-043,實作 Barrier Key → VirtualKey Mapper,M1,E05,P1,S,critical,B,"M1-041,M1-042",issues/M1/M1-043-barrier-virtual-key-mapper.md
M1-046,實作 ModifierState Ledger,M1,E05,P1,S,critical,B,"M1-041,M1-042",issues/M1/M1-046-modifier-state-ledger.md
M1-030,補齊 Handshake Fragmentation／Timeout／Mismatch Tests,M1,E03,P1,S,high,A,"M1-020,M1-029",issues/M1/M1-030-barrier-handshake-tests.md
M1-055,實作 Network.framework TLS Transport Wrapper,M1,E07,P1,M,critical,C/S,"M1-017,M1-029",issues/M1/M1-055-mac-tlstransport.md
M1-066,實作最小 Menu Bar Connection Status UI,M1,E08,P1,S,medium,A,"M1-029,M1-035",issues/M1/M1-066-menu-bar-status.md
M2-019,實作 Outbound Coordinate Mapper,M2,E10,P1,M,critical,B/H,"M2-015,M2-016,M1-039",issues/M2/M2-019-outbound-coordinate-mapper.md
M1-047,實作 Caps Lock Synchronization Semantics,M1,E05,P1,M,high,B/H,M1-046,issues/M1/M1-047-caps-lock-synchronizer.md
M1-048,實作 Key Repeat Semantics,M1,E05,P1,S,high,B,"M1-041,M1-046",issues/M1/M1-048-key-repeat-controller.md
M1-049,實作 macOS KeyboardInjector,M1,E05,P1,M,critical,B/H,"M1-044,M1-046,M1-035",issues/M1/M1-049-mac-keyboard-injector.md
M1-062,建立 Input State Ledger 與 Snapshot API,M1,E08,P1,S,critical,B,"M1-037,M1-046,M1-054",issues/M1/M1-062-input-state-ledger.md
M1-056,實作 SHA-256 Certificate Fingerprint Formatter,M1,E07,P1,M,high,A/S,M1-055,issues/M1/M1-056-certificate-fingerprint.md
M1-060,實作 Reconnect Backoff 與 Manual Disconnect Semantics,M1,E08,P1,S,high,B,"M1-018,M1-029,M1-055",issues/M1/M1-060-reconnect-manager.md
M2-020,實作 Return-edge Coordinate Mapper,M2,E10,P1,M,critical,B/H,M2-019,issues/M2/M2-020-return-coordinate-mapper.md
M1-050,實作 releaseAllKeys 與 Release Ordering,M1,E05,P1,M,critical,B/H,"M1-046,M1-049",issues/M1/M1-050-release-all-keys.md
M1-057,實作 Trust Policy State Machine,M1,E07,P1,M,critical,C/S,"M1-056,M1-015",issues/M1/M1-057-trust-policy.md
M1-061,實作 Network Change／Sleep-Wake Recovery,M1,E08,P1,M,critical,C/H,M1-060,issues/M1/M1-061-mac-recovery-coordinator.md
M1-051,執行 Keyboard／Shortcut／IME Compatibility Matrix,M1,E05,P1,M,critical,H,"M1-045,M1-047,M1-048,M1-049,M1-050",issues/M1/M1-051-keyboard-compatibility-matrix.md
M1-063,實作 Idempotent FailSafeCoordinator,M1,E08,P1,M,critical,C,"M1-050,M1-062",issues/M1/M1-063-fail-safe-coordinator.md
M1-058,實作 Keychain Trust Store 與 First-use Coordinator,M1,E07,P1,M,critical,C/S/H,M1-057,issues/M1/M1-058-keychain-trust-store.md
M1-064,將 Cleanup Hooks 接入所有 Terminal／Error／Cancel 路徑,M1,E08,P1,M,critical,C,"M1-060,M1-061,M1-063",issues/M1/M1-064-cleanup-hooks.md
M1-059,實作 Fingerprint Change Warning／Reject Flow,M1,E07,P1,M,critical,B/S/H,M1-058,issues/M1/M1-059-fingerprint-change-flow.md
M1-067,實作 Client Settings 與 Diagnostic Export UI,M1,E08,P1,M,medium,B/H,"M1-012,M1-058,M1-060,M1-066",issues/M1/M1-067-client-settings-ui.md
M1-065,建立 Client Fault-injection Regression Suite,M1,E08,P1,S,critical,B,"M1-020,M1-064",issues/M1/M1-065-client-fault-injection.md
M1-068,執行 Windows Barrier Server → Mac Client E2E,M1,E08,P0,M,critical,H,"M1-051,M1-054,M1-059,M1-065,M1-067",issues/M1/M1-068-windows-barrier-client-e2-e.md
M1-069,執行 Linux Barrier Server → Mac Client E2E,M1,E08,P0,M,critical,H,M1-068,issues/M1/M1-069-linux-barrier-client-e2-e.md
M1-070,完成 M1 Alpha Exit Review,M1,E00,P0,M,critical,C/H,M1-069,issues/M1/M1-070-m1-exit-review.md
M2-001,凍結 macOS Server Capture Safety／Threat Model,M2,E00,P0,M,critical,C/S/H,M1-070,issues/M2/M2-001-mac-server-safety-model.md
M2-002,實作 CGEventTap Permission／Preflight Service,M2,E09,P1,M,high,B/H,"M2-001,M1-035",issues/M2/M2-002-event-tap-permission-service.md
M2-003,建立 Real-time Capture Queue 與 Backpressure Policy,M2,E09,P1,M,critical,C,"M2-001,M1-020",issues/M2/M2-003-capture-queue.md
M2-008,凍結 Local／EnteringRemote／Remote／LeavingRemote Transition Table,M2,E10,P1,M,critical,C/H,"M2-001,M1-062",issues/M2/M2-008-input-state-table.md
M2-004,實作 macOS Mouse Capture Adapter,M2,E09,P1,M,critical,B/H,"M2-002,M2-003,M1-013",issues/M2/M2-004-mac-mouse-capture.md
M2-005,實作 macOS Keyboard Capture Adapter,M2,E09,P1,M,critical,B/H,"M2-002,M2-003,M1-042,M1-046",issues/M2/M2-005-mac-keyboard-capture.md
M2-009,實作純函式 InputState Reducer,M2,E10,P1,S,critical,B,M2-008,issues/M2/M2-009-input-state-reducer.md
M2-006,實作 Synthetic Event Tagging／Self-event Filtering,M2,E09,P1,M,critical,C/H,"M2-004,M2-005,M1-036,M1-049",issues/M2/M2-006-synthetic-event-filter.md
M2-022,擷取並 Sanitise Barrier Server-side Fixtures,M2,E03,P0,M,critical,H,"M1-023,M2-004,M2-005",issues/M2/M2-022-barrier-server-fixtures.md
M2-010,實作 Local → EnteringRemote Edge Trigger,M2,E10,P1,M,critical,B/H,M2-009,issues/M2/M2-010-enter-remote-trigger.md
M2-007,實作 EventTap Start／Stop／Restart Lifecycle,M2,E09,P1,M,high,B/H,"M2-002,M2-006",issues/M2/M2-007-event-tap-lifecycle.md
M2-023,凍結 Barrier Server Wire Contract v0.1,M2,E03,P0,M,critical,C/H,M2-022,issues/M2/M2-023-barrier-server-wire-contract.md
M2-011,實作 EnteringRemote Commit／Rollback／Timeout,M2,E10,P1,M,critical,B/H,M2-010,issues/M2/M2-011-enter-remote-commit.md
M2-024,實作 Barrier Listener Transport,M2,E03,P1,S,critical,B,"M1-017,M2-023",issues/M2/M2-024-barrier-listener-transport.md
M2-026,實作 Barrier Mouse Event Encoder,M2,E03,P1,S,high,A,"M2-023,M2-004,M1-021",issues/M2/M2-026-barrier-mouse-encoder.md
M2-027,實作 Barrier Keyboard Event Encoder,M2,E03,P1,S,critical,B,"M2-023,M2-005,M1-043,M1-046",issues/M2/M2-027-barrier-keyboard-encoder.md
M2-012,實作 Remote → LeavingRemote → Local Flow,M2,E10,P1,M,critical,B/H,M2-011,issues/M2/M2-012-leave-remote-flow.md
M2-013,實作 Remote State Local Event Suppression,M2,E09,P1,M,critical,C/S/H,"M2-006,M2-009,M2-011",issues/M2/M2-013-local-event-suppressor.md
M2-025,實作 Barrier Server Handshake／Session Accept,M2,E03,P1,M,critical,C,"M2-024,M1-026",issues/M2/M2-025-barrier-server-handshake.md
M2-021,實作 Cursor Warp／Restore Local Position,M2,E10,P1,M,critical,C/H,"M2-012,M2-020",issues/M2/M2-021-cursor-restorer.md
M2-028,實作 Barrier Clipboard／Control Encoder,M2,E03,P1,S,high,B,"M2-023,M1-052,M1-054,M2-010,M2-012",issues/M2/M2-028-barrier-clipboard-control-encoder.md
M2-014,實作 Emergency Escape Hotkey 與 Fail-open Recovery,M2,E09,P1,M,critical,B/H,"M2-013,M1-063",issues/M2/M2-014-emergency-escape.md
M2-029,實作 Server Session Lifecycle Actor,M2,E10,P1,S,critical,B,"M2-025,M2-026,M2-027,M2-028",issues/M2/M2-029-server-session.md
M2-030,實作 Multi-client SessionManager,M2,E10,P1,M,critical,C,M2-029,issues/M2/M2-030-session-manager.md
M2-031,實作 ScreenRouter Target Selection,M2,E10,P1,M,critical,C,"M2-009,M2-016,M2-030",issues/M2/M2-031-screen-router.md
M2-033,實作 Server-side Fail-safe／Local Recovery Coordinator,M2,E09,P1,M,critical,C/H,"M2-013,M2-014,M2-021,M2-030,M1-063",issues/M2/M2-033-server-fail-safe.md
M2-032,實作 Server Clipboard Routing／Loop Prevention,M2,E06,P1,M,high,B/H,"M1-054,M2-030,M2-031",issues/M2/M2-032-server-clipboard-router.md
M2-034,執行 Mac Server → Windows Barrier Client E2E,M2,E10,P0,M,critical,H,"M2-032,M2-033",issues/M2/M2-034-mac-to-windows-barrier-e2-e.md
M2-035,執行 Mac Server → Linux Barrier Client E2E,M2,E10,P1,M,critical,H,M2-034,issues/M2/M2-035-mac-to-linux-barrier-e2-e.md
M2-036,執行 Multi-client Routing E2E,M2,E10,P1,M,critical,H,M2-035,issues/M2/M2-036-multi-client-routing-e2-e.md
M2-037,執行 8-hour Server Soak／Fault Test,M2,E10,P1,M,critical,H,M2-036,issues/M2/M2-037-mac-server-soak.md
M2-038,完成 M2 Exit Review,M2,E00,P0,M,critical,C/H,M2-037,issues/M2/M2-038-m2-exit-review.md
M3-001,撰寫 Native Protocol Goals／Non-goals／Limits,M3,E11,P0,M,critical,C/H,M2-038,issues/M3/M3-001-native-protocol-requirements.md
M3-002,完成 Native Protocol Threat Model,M3,E11,P0,M,critical,C/S/H,M3-001,issues/M3/M3-002-native-threat-model.md
M3-003,凍結 Native Transport Baseline ADR,M3,E11,P1,M,critical,C/S/H,"M3-001,M3-002",issues/M3/M3-003-native-transport-adr.md
M3-004,凍結 Wire Encoding／Canonicalization ADR,M3,E11,P1,M,critical,C/S,"M3-001,M3-002",issues/M3/M3-004-native-encoding-adr.md
M3-011,定義 Device Identity Model,M3,E11,P1,M,critical,C/S,"M3-002,M3-003",issues/M3/M3-011-device-identity.md
M3-005,定義 Native Frame Header Schema,M3,E11,P1,M,critical,C/S,"M3-003,M3-004",issues/M3/M3-005-native-frame-header.md
M3-012,定義 Pairing Protocol Sequence／User Verification,M3,E11,P0,M,critical,C/S/H,M3-011,issues/M3/M3-012-pairing-protocol.md
M3-006,建立 Native Message Type Registry,M3,E11,P1,S,high,B,M3-005,issues/M3/M3-006-native-message-registry.md
M3-009,定義 Resource／DoS Bounds 與 Decoder Budget,M3,E11,P1,M,critical,C/S,"M3-002,M3-005",issues/M3/M3-009-native-resource-limits.md
M3-013,定義 Certificate／Key Bootstrap,M3,E11,P1,M,critical,C/S,"M3-011,M3-012",issues/M3/M3-013-identity-bootstrap.md
M3-007,定義 Version Negotiation Flow,M3,E11,P1,M,critical,C/S,"M3-005,M3-006",issues/M3/M3-007-native-version-negotiation.md
M3-021,實作 Canonical Native Frame Encoder,M3,E11,P1,S,high,B,"M3-005,M3-006",issues/M3/M3-021-native-frame-encoder.md
M3-020,實作 Bounded Native Frame Decoder,M3,E11,P1,M,critical,B/S,"M3-005,M3-006,M3-009",issues/M3/M3-020-native-frame-decoder.md
M3-014,定義 Trust Revocation／Rotation／Re-pair,M3,E11,P1,M,critical,C/S,M3-013,issues/M3/M3-014-trust-lifecycle.md
M3-008,定義 Capability Negotiation Flow,M3,E11,P1,M,critical,C,M3-007,issues/M3/M3-008-native-capability-negotiation.md
M3-033,建立 Malformed Frame／Fuzz Harness,M3,E11,P1,M,critical,C/S,"M3-020,M3-021,M3-009",issues/M3/M3-033-native-fuzz-harness.md
M3-028,實作 macOS Pairing／Trust Store Integration,M3,E12,P1,M,critical,C/S/H,"M3-012,M3-013,M3-014,M1-058",issues/M3/M3-028-mac-native-trust-integration.md
M3-010,定義 Native Error Code Taxonomy,M3,E11,P1,S,high,B,"M3-007,M3-008,M3-009",issues/M3/M3-010-native-error-codes.md
M3-015,定義 KVMEvent Native Wire Schema,M3,E11,P1,M,critical,C,"M1-013,M3-004,M3-008,M3-009",issues/M3/M3-015-native-kvmevent-schema.md
M3-022,實作 Native Session State Machine,M3,E11,P1,M,critical,C,"M3-007,M3-008,M3-010,M3-020,M3-021",issues/M3/M3-022-native-session.md
M3-016,實作 Native Mouse Codec,M3,E11,P1,S,high,B,"M3-005,M3-015",issues/M3/M3-016-native-mouse-codec.md
M3-017,實作 Native Keyboard Codec,M3,E11,P1,S,critical,B,"M3-005,M3-015,M1-042",issues/M3/M3-017-native-keyboard-codec.md
M3-018,實作 Native Clipboard Codec,M3,E11,P1,S,high,B,"M3-005,M3-015,M1-052,M3-009",issues/M3/M3-018-native-clipboard-codec.md
M3-019,實作 Native Screen／Control Codec,M3,E11,P1,S,high,B,"M3-005,M3-015",issues/M3/M3-019-native-control-codec.md
M3-034,定義 Cross-language Conformance Vector Format,M3,E11,P1,S,high,B,"M3-004,M3-015",issues/M3/M3-034-conformance-vector-format.md
M3-024,實作 Backpressure／Queue／Coalescing Policy,M3,E11,P1,M,critical,C,"M3-009,M3-022",issues/M3/M3-024-native-backpressure.md
M3-023,實作 Keepalive／Liveness Timeout,M3,E11,P1,S,high,B,"M3-018,M3-019,M3-022,M1-018",issues/M3/M3-023-native-liveness.md
M3-026,實作 Native Client Adapter,M3,E12,P1,S,critical,B,"M1-016,M3-016,M3-017,M3-018,M3-019,M3-022",issues/M3/M3-026-native-client-adapter.md
M3-027,實作 Native Server Adapter,M3,E12,P1,S,critical,B,"M2-030,M2-031,M3-016,M3-017,M3-018,M3-019,M3-022",issues/M3/M3-027-native-server-adapter.md
M3-035,產生 Canonical Native Protocol Test Vectors,M3,E11,P1,M,critical,C/H,"M3-016,M3-017,M3-018,M3-019,M3-034",issues/M3/M3-035-native-canonical-vectors.md
M3-025,定義並實作 Reconnect／Resume Semantics,M3,E11,P1,M,critical,C/S,"M3-014,M3-022,M3-023",issues/M3/M3-025-native-resume.md
M3-029,執行 First-party Mac → Mac Mouse E2E,M3,E12,P0,M,critical,H,"M3-026,M3-027,M3-028",issues/M3/M3-029-native-mac-mouse-e2-e.md
M3-037,將 BarrierCompatibility 改為 Optional Build／Runtime Module,M3,E12,P1,S,critical,B,"M3-026,M3-027",issues/M3/M3-037-optional-barrier-module.md
M3-036,建立 Swift Native Protocol Conformance Runner,M3,E11,P1,S,high,B,M3-035,issues/M3/M3-036-swift-conformance-runner.md
M3-032,建立 Native Session Fault-injection Suite,M3,E11,P1,S,critical,B,"M3-025,M3-026,M3-027",issues/M3/M3-032-native-fault-injection.md
M3-030,執行 First-party Mac → Mac Keyboard E2E,M3,E12,P1,M,critical,H,M3-029,issues/M3/M3-030-native-mac-keyboard-e2-e.md
M3-031,執行 First-party Mac ↔ Mac Clipboard E2E,M3,E12,P1,M,high,H,M3-030,issues/M3/M3-031-native-mac-clipboard-e2-e.md
M3-038,執行 Barrier-disabled Install／E2E,M3,E12,P0,M,critical,H,"M3-031,M3-032,M3-037",issues/M3/M3-038-barrier-disabled-e2-e.md
M3-039,完成 M3 Alpha Exit Review,M3,E00,P0,M,critical,C/S/H,"M3-033,M3-036,M3-038",issues/M3/M3-039-m3-exit-review.md
M4-001,凍結 Cross-platform Toolchain／Language／FFI ADR,M4,E00,P0,M,critical,C/S/H,M3-039,issues/M4/M4-001-cross-platform-toolchain.md
M4-002,定義 Language-neutral Platform Backend Contracts,M4,E02,P1,M,critical,C,"M4-001,M1-013,M3-034",issues/M4/M4-002-platform-backend-contracts.md
M4-003,建立 Cross-platform Conformance Runner Contract,M4,E11,P1,S,high,B,"M4-001,M3-035,M4-002",issues/M4/M4-003-cross-platform-conformance-runner.md
M4-004,建立 Windows App／Build／Test Skeleton,M4,E13,P1,XS,medium,A,"M4-001,M4-002",issues/M4/M4-004-windows-skeleton.md
M4-020,建立 Linux App／Build／Test Skeleton,M4,E14,P1,XS,medium,A,"M4-001,M4-002",issues/M4/M4-020-linux-skeleton.md
M4-005,實作 Windows Secure Storage Adapter,M4,E13,P1,M,critical,C/S/H,"M4-004,M3-014",issues/M4/M4-005-windows-secure-storage.md
M4-006,實作 Windows Native Protocol Client Adapter,M4,E13,P1,S,critical,B,"M4-003,M4-004,M3-035",issues/M4/M4-006-windows-native-client.md
M4-008,實作 Windows Mouse Injection Backend,M4,E13,P1,M,critical,C/H,"M4-002,M4-004",issues/M4/M4-008-windows-mouse-injector.md
M4-009,實作 Windows Keyboard Injection Backend,M4,E13,P1,M,critical,C/H,"M4-002,M4-004,M1-042",issues/M4/M4-009-windows-keyboard-injector.md
M4-010,實作 Windows Mouse Capture Backend,M4,E13,P1,M,critical,C/H,"M4-002,M4-004",issues/M4/M4-010-windows-mouse-capture.md
M4-011,實作 Windows Keyboard Capture Backend,M4,E13,P1,M,critical,C/H,"M4-002,M4-004,M1-042",issues/M4/M4-011-windows-keyboard-capture.md
M4-013,實作 Windows Clipboard Adapter／Loop Guard,M4,E13,P1,M,high,B/H,"M4-002,M4-004,M1-052,M1-054",issues/M4/M4-013-windows-clipboard.md
M4-014,實作 Windows Screen Enumeration／DPI／Coordinate Mapping,M4,E13,P1,M,critical,C/H,"M4-002,M4-004,M1-039,M2-019",issues/M4/M4-014-windows-screen-backend.md
M4-021,實作 Linux Secure Storage Adapter,M4,E14,P1,M,critical,C/S/H,"M4-020,M3-014",issues/M4/M4-021-linux-secure-storage.md
M4-022,實作 Linux Native Protocol Client Adapter,M4,E14,P1,S,critical,B,"M4-003,M4-020,M3-035",issues/M4/M4-022-linux-native-client.md
M4-024,實作 Linux X11 Mouse／Keyboard Injection Backend,M4,E14,P1,M,critical,C/H,"M4-002,M4-020",issues/M4/M4-024-linux-x11-injector.md
M4-025,實作 Linux X11 Mouse／Keyboard Capture Backend,M4,E14,P1,M,critical,C/H,"M4-002,M4-020",issues/M4/M4-025-linux-x11-capture.md
M4-026,實作 Linux X11 Clipboard Adapter,M4,E14,P1,M,high,B/H,"M4-020,M1-052,M1-054",issues/M4/M4-026-linux-x11-clipboard.md
M4-027,實作 Linux Screen Enumeration／Scaling Backend,M4,E14,P1,M,critical,C/H,"M4-020,M1-039,M2-019",issues/M4/M4-027-linux-screen-backend.md
M4-028,蒐集 Wayland Environment／Capability Evidence Matrix,M4,E14,P0,M,critical,H,M4-020,issues/M4/M4-028-wayland-capability-evidence.md
M4-007,實作 Windows Native Protocol Server Adapter,M4,E13,P1,S,critical,B,M4-006,issues/M4/M4-007-windows-native-server.md
M4-012,實作 Windows Synthetic-event Filtering／Suppression Safety,M4,E13,P1,M,critical,C/S/H,"M4-008,M4-009,M4-010,M4-011",issues/M4/M4-012-windows-event-filter.md
M4-023,實作 Linux Native Protocol Server Adapter,M4,E14,P1,S,critical,B,M4-022,issues/M4/M4-023-linux-native-server.md
M4-038,建立 Cross-platform VirtualKey Conformance Matrix,M4,E05,P1,M,critical,B/H,"M4-009,M4-011,M4-024,M4-025,M1-051",issues/M4/M4-038-cross-platform-key-matrix.md
M4-029,凍結 Wayland Backend／Support Matrix ADR,M4,E14,P0,M,critical,C/S/H,"M4-028,M4-001",issues/M4/M4-029-wayland-backend-adr.md
M4-015,實作 Windows Tray／Settings／Permission Status Shell,M4,E13,P1,M,high,B/H,"M4-005,M4-006,M4-007,M4-013,M4-014",issues/M4/M4-015-windows-app-shell.md
M5-016,實作 Crash Recovery／Last Safe State,M5,E16,P1,M,critical,C/H,"M1-063,M2-033,M4-012",issues/M5/M5-016-crash-recovery.md
M4-034,實作 Linux Autostart／Background Lifecycle,M4,E14,P1,M,high,B/H,"M4-021,M4-022,M4-023",issues/M4/M4-034-linux-lifecycle.md
M4-030,完成 uinput Helper Privilege／Threat Model Review,M4,E14,P1,M,critical,C/S/H,"M4-029,M3-002",issues/M4/M4-030-uinput-helper-security.md
M4-033,實作 Wayland Clipboard Adapter,M4,E14,P1,M,high,C/H,"M4-029,M4-020,M1-052",issues/M4/M4-033-wayland-clipboard.md
M5-012,完成 Accessibility／Permission／Firewall Onboarding UX,M5,E15,P1,M,high,B/H,"M1-035,M2-002,M4-012,M4-029",issues/M5/M5-012-permission-onboarding.md
M4-016,實作 Windows Startup／Background Lifecycle,M4,E13,P1,M,high,C/H,M4-015,issues/M4/M4-016-windows-lifecycle.md
M4-035,建立 Linux DEB／AppImage Beta Packaging,M4,E14,P1,M,high,C/S/H,M4-034,issues/M4/M4-035-linux-beta-packages.md
M4-031,實作受限權限的 uinput Helper／IPC,M4,E14,P1,M,critical,C/S/H,M4-030,issues/M4/M4-031-uinput-helper.md
